player_name,position,jersey_number,line,pp_unit,team,source
Damon Severson,D,78,2,,CBJ,dailyfaceoff
Denton Mateychuk,D,5,3,PP2,CBJ,dailyfaceoff
Erik Gudbranson,D,44,3,,CBJ,dailyfaceoff
Sam Steel,F,18,1,PP2,DAL,dailyfaceoff
Roope Hintz,F,24,1,PP1,DAL,dailyfaceoff
Mikko Rantanen,F,96,1,PP1,DAL,dailyfaceoff
Jason Robertson,F,21,2,PP1,DAL,dailyfaceoff
Wyatt Johnston,F,53,2,PP1,DAL,dailyfaceoff
Mavrik Bourque,F,22,2,PP2,DAL,dailyfaceoff
Justin Hryckowian,F,49,3,,DAL,dailyfaceoff
Matt Duchene,F,95,3,PP2,DAL,dailyfaceoff
Tyler Seguin,F,91,3,PP2,DAL,dailyfaceoff
Oskar Back,F,10,4,,DAL,dailyfaceoff
Radek Faksa,F,12,4,,DAL,dailyfaceoff
Colin Blackwell,F,15,4,,DAL,dailyfaceoff
Esa Lindell,D,23,1,,DAL,dailyfaceoff
Miro Heiskanen,D,4,1,PP1,DAL,dailyfaceoff
Thomas Harley,D,55,2,PP2,DAL,dailyfaceoff
Nils Lundkvist,D,5,2,,DAL,dailyfaceoff
Lian Bichsel,D,6,3,,DAL,dailyfaceoff
Alex Petrovic,D,,3,,DAL,dailyfaceoff
Emmitt Finnie,F,58,1,PP2,DET,dailyfaceoff
Dylan Larkin,F,71,1,PP1,DET,dailyfaceoff
Lucas Raymond,F,23,1,PP1,DET,dailyfaceoff
Alex DeBrincat,F,93,2,PP1,DET,dailyfaceoff
Marco Kasper,F,92,2,PP2,DET,dailyfaceoff
Patrick Kane,F,88,2,PP1,DET,dailyfaceoff
Andrew Copp,F,18,3,PP2,DET,dailyfaceoff
J.T. Compher,F,37,3,,DET,dailyfaceoff
Michael Brandsegg-Nygård,F,28,3,PP2,DET,dailyfaceoff
Elmer Soderblom,F,85,4,,DET,dailyfaceoff
Michael Rasmussen,F,27,4,,DET,dailyfaceoff
Mason Appleton,F,22,4,,DET,dailyfaceoff
Ben Chiarot,D,8,1,,DET,dailyfaceoff
Moritz Seider,D,53,1,PP1,DET,dailyfaceoff
Simon Edvinsson,D,77,2,,DET,dailyfaceoff
Albert Johansson,D,20,2,,DET,dailyfaceoff
Erik Gustafsson,D,56,3,PP2,DET,dailyfaceoff
Jacob Bernard-Docker,D,25,3,,DET,dailyfaceoff
Leon Draisaitl,F,29,1,PP1,EDM,dailyfaceoff
Connor McDavid,F,97,1,PP1,EDM,dailyfaceoff
Trent Frederic,F,10,1,PP2,EDM,dailyfaceoff
Vasily Podkolzin,F,92,2,,EDM,dailyfaceoff
Ryan Nugent-Hopkins,F,93,2,PP1,EDM,dailyfaceoff
Andrew Mangiapane,F,88,2,,EDM,dailyfaceoff
Isaac Howard,F,53,3,PP2,EDM,dailyfaceoff
David Tomasek,F,86,3,PP1,EDM,dailyfaceoff
Kasperi Kapanen,F,42,3,,EDM,dailyfaceoff
Adam Henrique,F,19,4,PP2,EDM,dailyfaceoff
Noah Philp,F,48,4,,EDM,dailyfaceoff
Matthew Savoie,F,22,4,PP2,EDM,dailyfaceoff
Mattias Ekholm,D,14,1,,EDM,dailyfaceoff
Evan Bouchard,D,2,1,PP1,EDM,dailyfaceoff
Darnell Nurse,D,25,2,PP2,EDM,dailyfaceoff
