player_name,player_slug,cap_hit,team
"Blumel, Matej",matej-blumel,875000.0,BOS
"Duran, Riley",riley-duran,867500.0,BOS
"Lysell, Fabian",fabian-lysell,863334.0,BOS
"Locmelis, Dans",dans-locmelis,860000.0,BOS
"Steeves, Alex",alex-steeves,850000.0,BOS
"Harrison, Brett",brett-harrison,836667.0,BOS
"Brown, Patrick",patrick-brown,775000.0,BOS
"Tufte, Riley",riley-tufte,775000.0,BOS
"Viel, Jeffrey",jeffrey-viel,775000.0,BOS
"Farinacci, John",john-farinacci,775000.0,BOS
"Merkulov, Georgii",georgi-merkulov,775000.0,BOS
"Brunet, Frédéric",frederic-brunet,860000.0,BOS
"Edward, Jackson",jackson-edward,831667.0,BOS
"Johansson, Loke",loke-johansson,831667.0,BOS
"Wanner, Max",max-wanner,828333.0,BOS
"Callahan, Michael",michael-callahan,775000.0,BOS
"Aspirot, Jonathan",jonathan-aspirot,775000.0,BOS
"Soderstrom, Victor",victor-soderstrom,775000.0,BOS
"Sweezey, Billy",billy-Sweezey,775000.0,BOS
"Zajicek, Simon",simon-zajicek,872500.0,BOS
"Dipietro, Michael",michael-dipietro,812500.0,BOS
"Cavallin, Luke",luke-cavallin,790000.0,BOS
"Norris, Joshua",joshua-norris,7950000.0,BUF
"Thompson, Tage",tage-thompson,7142857.0,BUF
"McLeod, Ryan",ryan-mcleod,5000000.0,BUF
"Zucker, Jason",jason-zucker,4750000.0,BUF
"Tuch, Alex",alex-tuch,4750000.0,BUF
"Greenway, Jordan",jordan-greenway,4000000.0,BUF
"Quinn, Jack",jack-quinn,3375000.0,BUF
"Danforth, Justin",justin-danforth,1800000.0,BUF
"Krebs, Peyton",peyton-krebs,1450000.0,BUF
"Malenstyn, Beck",beck-malenstyn,1350000.0,BUF
"Benson, Zach",zach-benson,950000.0,BUF
"Doan, Josh",josh-doan,925000.0,BUF
"Kulich, Jiri",jiri-kulich,886666.0,BUF
"Dahlin, Rasmus",rasmus-dahlin,11000000.0,BUF
"Power, Owen",owen-power,8350000.0,BUF
"Byram, Bowen",bowen-byram,6250000.0,BUF
"Samuelsson, Mattias",mattias-samuelsson,4285714.0,BUF
"Timmins, Conor",conor-timmins,2200000.0,BUF
"Kesselring, Michael",michael-kesselring,1400000.0,BUF
"Bryson, Jacob",jacob-bryson,900000.0,BUF
"Komarov, Vsevolod",vsevolod-komarov,835000.0,BUF
"Johnson, Ryan",ryan-johnson,775000.0,BUF
"Luukkonen, Ukko-Pekka",ukko-pekka-luukkonen,4750000.0,BUF
"Lyon, Alex",alex-lyon,1500000.0,BUF
"Georgiev, Alexandar",alexandar-georgiev,825000.0,BUF
"Skinner, Jeff",jeff-skinner,4444444.0,BUF
"Kopff, Tyler",tyler-kopff,975000.0,BUF
"Helenius, Konsta",konsta-helenius,942500.0,BUF
"Rosén, Isak",isak-rosen,894167.0,BUF
"Östlund, Noah",noah-stlund,886666.0,BUF
"Neuchev, Viktor",viktor-neuchev,870000.0,BUF
"Fiddler-Schultz, Riley",riley-fiddler-schultz,865000.0,BUF
"Nadeau, Olivier",olivier-nadeau,836667.0,BUF
"Wahlberg, Anton",anton-wahlberg,833333.0,BUF
"Geertsen, Mason",mason-geertsen,775000.0,BUF
"Leschyshyn, Jake",jake-leschyshyn,775000.0,BUF
"Meyer, Carson",carson-meyer,775000.0,BUF
"Dunne, Joshua",joshua-dunne,775000.0,BUF
"Kozak, Tyson",tyson-kozak,775000.0,BUF
"Mrtka, Radim",radim-mrtka,975000.0,BUF
"Jones, Zachary",zachary-jones,900000.0,BUF
"Belliveau, Isaac",isaac-belliveau,875000.0,BUF
"Novikov, Nikita",nikita-novikov,867500.0,BUF
"Rathbone, Jack",jack-rathbone,800000.0,BUF
"Metsa, Zach",zach-metsa,775000.0,BUF
"Leinonen, Topias",topias-leinonen,886667.0,BUF
"Ratzlaff, Scott",scott-ratzlaff,835000.0,BUF
"Levi, Devon",devon-levi,812500.0,BUF
"Huberdeau, Jonathan",jonathan-huberdeau,10500000.0,CGY
"Kadri, Nazem",nazem-kadri,7000000.0,CGY
"Coronato, Matt",matt-coronato,6500000.0,CGY
"Sharangovich, Yegor",yegor-sharangovich,5750000.0,CGY
"Farabee, Joel",joel-farabee,5000000.0,CGY
"Coleman, Blake",blake-coleman,4900000.0,CGY
"Backlund, Mikael",mikael-backlund,4500000.0,CGY
"Frost, Morgan",morgan-frost,4375000.0,CGY
"Zary, Connor",connor-zary,3775000.0,CGY
"Lomberg, Ryan",ryan-lomberg,2000000.0,CGY
"Klapka, Adam",adam-klapka,1250000.0,CGY
"Pospisil, Martin",martin-pospisil,1000000.0,CGY
"Kirkland, Justin",justin-kirkland,900000.0,CGY
"Weegar, MacKenzie",mackenzie-weegar,6250000.0,CGY
"Bahl, Kevin",kevin-bahl,5350000.0,CGY
"Andersson, Rasmus",rasmus-andersson,4550000.0,CGY
"Hanley, Joel",joel-hanley,1750000.0,CGY
"Bean, Jake",jake-bean,1750000.0,CGY
"Miromanov, Daniil",daniil-miromanov,1250000.0,CGY
"Pachal, Brayden",brayden-pachal,1187500.0,CGY
"Parekh, Zayne",zayne-parekh,942500.0,CGY
"Wolf, Dustin",dustin-wolf,850000.0,CGY
"Cooley, Devin",devin-cooley,775000.0,CGY
"Markstrom, Jacob",jacob-markstrom,1875000.0,CGY
