player_name,position,jersey_number,line,team,source,pp_unit
Seider,D,53,1,DET,puckpedia,PP1
Bernard-Docker,D,25,2,DET,puckpedia,
Sandin Pellikka,D,44,3,DET,puckpedia,
Draisaitl,F,29,1,EDM,puckpedia,PP1
Mangiapane,F,88,2,EDM,puckpedia,PP2
Podkolzin,F,92,3,EDM,puckpedia,
Hamblin,F,52,4,EDM,puckpedia,
McDavid,F,97,1,EDM,puckpedia,PP1
Nugent-Hopkins,F,93,2,EDM,puckpedia,PP1
Philp,F,48,3,EDM,puckpedia,
Henrique,F,19,4,EDM,puckpedia,PP2
Frederic,F,10,1,EDM,puckpedia,PP2
Savoie,F,22,2,EDM,puckpedia,
Kapanen,F,42,3,EDM,puckpedia,
Lazar,F,20,4,EDM,puckpedia,
Ekholm,D,14,1,EDM,puckpedia,
Nurse,D,25,2,EDM,puckpedia,PP2
Kulak,D,27,3,EDM,puckpedia,
Bouchard,D,2,1,EDM,puckpedia,PP1
Regula,D,75,2,EDM,puckpedia,
Stecher,D,51,3,EDM,puckpedia,
Verhaeghe,F,23,1,FLA,puckpedia,
Luostarinen,F,27,2,FLA,puckpedia,PP2
Boqvist,F,70,3,FLA,puckpedia,PP2
Greer,F,10,4,FLA,puckpedia,
Bennett,F,9,1,FLA,puckpedia,PP1
Lundell,F,15,2,FLA,puckpedia,PP1
Schwindt,F,,3,FLA,puckpedia,
Kunin,F,71,4,FLA,puckpedia,
Reinhart,F,13,1,FLA,puckpedia,PP1
Marchand,F,63,2,FLA,puckpedia,PP1
Rodrigues,F,17,3,FLA,puckpedia,PP2
Gadjovich,F,12,4,FLA,puckpedia,
Forsling,D,42,1,FLA,puckpedia,
Mikkola,D,77,2,FLA,puckpedia,
Kulikov,D,7,3,FLA,puckpedia,
Ekblad,D,5,1,FLA,puckpedia,PP1
Jones,D,3,2,FLA,puckpedia,PP2
Petry,D,2,3,FLA,puckpedia,
Kuzmenko,F,96,1,LAK,puckpedia,PP1
Fiala,F,22,2,LAK,puckpedia,PP1
Foegele,F,37,3,LAK,puckpedia,
Malott,F,39,4,LAK,puckpedia,
Kopitar,F,11,1,LAK,puckpedia,PP1
Byfield,F,55,2,LAK,puckpedia,PP1
Danault,F,24,3,LAK,puckpedia,PP2
Turcotte,F,15,4,LAK,puckpedia,
Kempe,F,9,1,LAK,puckpedia,PP1
Laferriere,F,14,2,LAK,puckpedia,PP2
Moore,F,12,3,LAK,puckpedia,
Armia,F,40,4,LAK,puckpedia,PP2
Anderson,D,44,1,LAK,puckpedia,
Edmundson,D,6,2,LAK,puckpedia,
Dumoulin,D,2,3,LAK,puckpedia,
Doughty,D,8,1,LAK,puckpedia,PP2
Ceci,D,5,2,LAK,puckpedia,
Clarke,D,92,3,LAK,puckpedia,PP2
Kaprizov,F,97,1,MIN,puckpedia,PP1
Öhgren,F,28,2,MIN,puckpedia,
Johansson,F,90,3,MIN,puckpedia,
Trenin,F,13,4,MIN,puckpedia,
Rossi,F,23,1,MIN,puckpedia,PP2
Eriksson Ek,F,14,2,MIN,puckpedia,PP1
Hartman,F,38,3,MIN,puckpedia,PP2
