player_name,position,jersey_number,line,team,source,pp_unit
Edmundson,D,6.0,2,LAK,puckpedia,
Dumoulin,D,2.0,3,LAK,puckpedia,
Doughty,D,8.0,1,LAK,puckpedia,PP2
Ceci,D,5.0,2,LAK,puckpedia,
Clarke,D,92.0,3,LAK,puckpedia,PP2
Kaprizov,F,97.0,1,MIN,puckpedia,PP1
Öhgren,F,28.0,2,MIN,puckpedia,
Johansson,F,90.0,3,MIN,puckpedia,
Trenin,F,13.0,4,MIN,puckpedia,
Rossi,F,23.0,1,MIN,puckpedia,PP2
Eriksson Ek,F,14.0,2,MIN,puckpedia,PP1
Hartman,F,38.0,3,MIN,puckpedia,PP2
Sturm,F,78.0,4,MIN,puckpedia,
Boldy,F,12.0,1,MIN,puckpedia,PP1
Tarasenko,F,91.0,2,MIN,puckpedia,PP2
Foligno,F,17.0,3,MIN,puckpedia,
Yurov,F,22.0,4,MIN,puckpedia,
Middleton,D,5.0,1,MIN,puckpedia,
Buium,D,8.0,2,MIN,puckpedia,PP2
Jiricek,D,55.0,3,MIN,puckpedia,
Faber,D,7.0,1,MIN,puckpedia,PP1
Spurgeon,D,46.0,2,MIN,puckpedia,PP2
Bogosian,D,24.0,3,MIN,puckpedia,
Caufield,F,13.0,1,MTL,puckpedia,PP1
Bolduc,F,76.0,2,MTL,puckpedia,
Newhook,F,15.0,3,MTL,puckpedia,PP2
Anderson,F,17.0,4,MTL,puckpedia,
Suzuki,F,14.0,1,MTL,puckpedia,PP1
Dach,F,77.0,2,MTL,puckpedia,
Kapanen,F,91.0,3,MTL,puckpedia,
Evans,F,71.0,4,MTL,puckpedia,
Slafkovský,F,20.0,1,MTL,puckpedia,PP1
Gallagher,F,11.0,2,MTL,puckpedia,PP2
Demidov,F,93.0,3,MTL,puckpedia,PP2
Laine,F,92.0,4,MTL,puckpedia,PP1
Matheson,D,8.0,1,MTL,puckpedia,PP2
Guhle,D,21.0,2,MTL,puckpedia,
Xhekaj,D,72.0,3,MTL,puckpedia,
Dobson,D,53.0,1,MTL,puckpedia,PP2
Hutson,D,48.0,2,MTL,puckpedia,PP1
Carrier,D,45.0,3,MTL,puckpedia,
Dadonov,F,33.0,1,NJD,puckpedia,PP2
Meier,F,28.0,2,NJD,puckpedia,PP1
Palat,F,18.0,3,NJD,puckpedia,PP2
Cotter,F,47.0,4,NJD,puckpedia,
Hughes,F,86.0,1,NJD,puckpedia,"PP1, PP2"
Hischier,F,13.0,2,NJD,puckpedia,PP1
Glass,F,12.0,3,NJD,puckpedia,
Glendening,F,14.0,4,NJD,puckpedia,
Bratt,F,63.0,1,NJD,puckpedia,PP1
Mercer,F,91.0,2,NJD,puckpedia,PP2
Brown,F,16.0,3,NJD,puckpedia,
Gritsyuk,F,81.0,4,NJD,puckpedia,PP2
Siegenthaler,D,71.0,1,NJD,puckpedia,
Hughes,D,43.0,2,NJD,puckpedia,"PP1, PP2"
Dillon,D,5.0,3,NJD,puckpedia,
Hamilton,D,7.0,1,NJD,puckpedia,PP1
Pesce,D,22.0,2,NJD,puckpedia,
Nemec,D,17.0,3,NJD,puckpedia,
Duclair,F,11.0,1,NYI,puckpedia,PP2
Lee,F,27.0,2,NYI,puckpedia,PP1
Shabanov,F,49.0,3,NYI,puckpedia,PP2
Heineman,F,51.0,4,NYI,puckpedia,
Horvat,F,14.0,1,NYI,puckpedia,PP1
Barzal,F,13.0,2,NYI,puckpedia,PP1
Pageau,F,44.0,3,NYI,puckpedia,
Cizikas,F,53.0,4,NYI,puckpedia,
Drouin,F,29.0,1,NYI,puckpedia,PP1
Palmieri,F,21.0,2,NYI,puckpedia,PP2
Holmstrom,F,10.0,3,NYI,puckpedia,PP2
Tsyplakov,F,7.0,4,NYI,puckpedia,
Pelech,D,3.0,1,NYI,puckpedia,
Romanov,D,28.0,2,NYI,puckpedia,
Schaefer,D,48.0,3,NYI,puckpedia,
Pulock,D,6.0,1,NYI,puckpedia,PP2
DeAngelo,D,77.0,2,NYI,puckpedia,PP1
Mayfield,D,24.0,3,NYI,puckpedia,
Panarin,F,10.0,1,NYR,puckpedia,PP1
Cuylle,F,50.0,2,NYR,puckpedia,PP2
Berard,F,65.0,3,NYR,puckpedia,
Edstrom,F,84.0,4,NYR,puckpedia,
Trocheck,F,16.0,1,NYR,puckpedia,PP1
Miller,F,8.0,2,NYR,puckpedia,PP1
Parssinen,F,71.0,3,NYR,puckpedia,PP2
Carrick,F,39.0,4,NYR,puckpedia,
Lafreniere,F,13.0,1,NYR,puckpedia,PP2
Zibanejad,F,93.0,2,NYR,puckpedia,PP1
Raddysh,F,14.0,3,NYR,puckpedia,PP2
Rempe,F,73.0,4,NYR,puckpedia,
Gavrikov,D,44.0,1,NYR,puckpedia,
Soucy,D,24.0,2,NYR,puckpedia,PP2
Vaakanainen,D,18.0,3,NYR,puckpedia,
Fox,D,23.0,1,NYR,puckpedia,PP1
Borgen,D,17.0,2,NYR,puckpedia,
Schneider,D,4.0,3,NYR,puckpedia,
Tkachuk,F,7.0,1,OTT,puckpedia,PP1
Perron,F,57.0,2,OTT,puckpedia,PP2
Greig,F,71.0,3,OTT,puckpedia,PP2
Cousins,F,21.0,4,OTT,puckpedia,
Stutzle,F,18.0,1,OTT,puckpedia,PP1
Cozens,F,24.0,2,OTT,puckpedia,PP1
Pinto,F,12.0,3,OTT,puckpedia,PP1
Eller,F,89.0,4,OTT,puckpedia,
Giroux,F,28.0,1,OTT,puckpedia,PP2
Zetterlund,F,20.0,2,OTT,puckpedia,PP2
Amadio,F,22.0,3,OTT,puckpedia,
MacEwen,F,17.0,4,OTT,puckpedia,
Sanderson,D,85.0,1,OTT,puckpedia,PP1
Chabot,D,72.0,2,OTT,puckpedia,PP2
Kleven,D,43.0,3,OTT,puckpedia,
Zub,D,2.0,1,OTT,puckpedia,
Jensen,D,3.0,2,OTT,puckpedia,
Spence,D,10.0,3,OTT,puckpedia,
Grebenkin,F,29.0,1,PHI,puckpedia,
Tippett,F,74.0,2,PHI,puckpedia,PP2
Foerster,F,71.0,3,PHI,puckpedia,PP2
Hathaway,F,19.0,4,PHI,puckpedia,
Couturier,F,14.0,1,PHI,puckpedia,PP1
Zegras,F,46.0,2,PHI,puckpedia,PP1
Cates,F,27.0,3,PHI,puckpedia,PP2
Dvorak,F,22.0,4,PHI,puckpedia,
Konecny,F,11.0,1,PHI,puckpedia,PP1
Michkov,F,39.0,2,PHI,puckpedia,PP1
Brink,F,10.0,3,PHI,puckpedia,PP2
